ID,marca,modelo,fecha,tipo_cambio,total_km,tipo_combustible,consumo,tipo_motor,tasa,precio
13207,hyundi, Santa Fe,2019,Semi-Auto,4223,Diesel,5.91,2.2,145.0,31995
17314,vauxhall, GTC,2015,Manual,47870,Diesel,3.91,2.0,125.0,7700
12342,audi, RS4,2019,Automatic,5151,Petrol,8.08,2.9,145.0,58990
13426,vw, Scirocco,2016,Automatic,20423,Diesel,4.08,2.0,30.0,12999
16004,skoda, Scala,2020,Semi-Auto,3569,Petrol,4.99,1.0,145.0,16990
18964,merc, V Class,2019,Automatic,4170,Diesel,5.33,2.1,145.0,40890
17053,toyota, Prius,2020,Automatic,3,Hybrid,3.66,1.8,135.0,25990
19021,bmw, M4,2019,Semi-Auto,101,Petrol,6.92,3.0,145.0,41980
17429,toyota, Camry,2019,Automatic,6340,Hybrid,4.5,2.5,135.0,25490
16726,ford, KA,2012,Manual,85843,Petrol,4.08,1.2,30.0,3491
17081,vauxhall, Vivaro,2016,Manual,40230,Diesel,4.67,1.6,160.0,13750
18995,merc, CLS Class,2016,Automatic,47156,Diesel,4.08,2.1,125.0,17999
13055,vw, Caravelle,2019,Automatic,5000,Diesel,7.0,2.0,145.0,46050
12510,vw, Arteon,2018,Semi-Auto,20656,Petrol,4.99,2.0,145.0,20498
13430,vw, Shuttle,2018,Manual,31824,Diesel,4.99,2.0,145.0,22750
19049,hyundi, I40,2019,Manual,20,Diesel,4.5,1.6,145.0,16000
17822,hyundi, IX20,2015,Automatic,34878,Petrol,5.39,1.6,200.0,6890
16655,hyundi, Santa Fe,2019,Automatic,9970,Diesel,6.0,2.2,145.0,31269
18480,bmw, 6 Series,2017,Semi-Auto,18895,Diesel,4.58,3.0,145.0,25998
16270,merc, GL Class,2016,Automatic,11653,Diesel,3.5,2.1,20.0,17999
14435,merc, S Class,2017,Automatic,12653,Diesel,4.5,3.0,145.0,37500
13161,ford, KA,2015,Manual,17041,Petrol,4.08,1.2,30.0,4995
12817,audi, S3,2015,Manual,48800,Petrol,5.91,2.0,205.0,17950
12857,skoda, Yeti,2016,Semi-Auto,13156,Petrol,4.58,1.2,125.0,13495
13738,ford, Galaxy,2009,Manual,58000,Diesel,5.25,1.8,200.0,5475
18374,ford, Puma,2020,Manual,363,Petrol,4.67,1.0,145.0,23000
13105,ford, Edge,2016,Manual,24105,Diesel,4.83,2.0,160.0,18640
15122,audi, A8,2019,Automatic,2117,Diesel,5.82,3.0,145.0,41606
17363,merc, SLK,2013,Semi-Auto,44226,Diesel,4.16,2.0,145.0,10498
16597,vw, Scirocco,2016,Manual,44015,Diesel,4.41,2.0,30.0,12912
15848,merc, CLS Class,2016,Automatic,16107,Diesel,4.58,3.0,160.0,20399
15114,skoda, Kamiq,2019,Semi-Auto,3597,Petrol,5.33,1.5,145.0,20999
13714,merc, CLS Class,2016,Semi-Auto,29306,Diesel,4.58,3.0,160.0,21998
14648,audi, RS6,2016,Semi-Auto,22500,Petrol,8.0,4.0,325.0,49950
13750,toyota, Prius,2017,Automatic,20828,Hybrid,2.5,1.8,135.0,18995
13995,skoda, Scala,2019,Automatic,510,Diesel,4.33,1.6,145.0,16490
15017,vw, Scirocco,2016,Manual,40000,Petrol,4.5,1.4,125.0,11850
14255,vw, Arteon,2019,Semi-Auto,5101,Diesel,4.67,2.0,145.0,26090
18540,skoda, Scala,2019,Manual,1149,Petrol,4.74,1.0,145.0,15650
13827,toyota, Prius,2017,Automatic,33710,Hybrid,2.5,1.8,135.0,17800
12626,merc, CLA Class,2017,Automatic,53159,Diesel,3.99,2.1,125.0,17590
17894,vw, Caravelle,2006,Manual,106000,Diesel,6.84,2.5,325.0,14495
16871,toyota, Land Cruiser,2019,Semi-Auto,16634,Diesel,7.81,2.8,145.0,42995
13987,merc, V Class,2019,Automatic,10,Diesel,6.41,2.0,145.0,49991
14061,merc, M Class,2015,Semi-Auto,43339,Diesel,6.0,2.1,200.0,21498
12573,merc, S Class,2009,Automatic,122000,Diesel,6.41,3.0,325.0,7724
15725,hyundi, I40,2016,Manual,18340,Diesel,3.91,1.7,125.0,12995
15629,vw, Arteon,2020,Semi-Auto,2555,Diesel,4.41,2.0,145.0,29990
18127,merc, V Class,2018,Semi-Auto,40479,Diesel,5.16,2.2,145.0,29998
13957,audi, Q8,2019,Automatic,4278,Diesel,7.0,3.0,145.0,50786
13304,bmw, i3,2017,Automatic,20929,Hybrid,0.5,0.0,135.0,19948
12774,toyota, Verso,2017,Semi-Auto,19807,Petrol,5.5,1.8,200.0,12990
12733,hyundi, Santa Fe,2016,Automatic,20960,Diesel,5.5,2.2,235.0,16999
19535,merc, CLS Class,2018,Automatic,16568,Diesel,4.83,2.9,145.0,34390
12144,ford, Mustang,2017,Manual,20700,Petrol,11.25,5.0,150.0,27500
16299,vw, Arteon,2019,Manual,40,Diesel,4.5,2.0,150.0,27498
13920,merc, CLS Class,2017,Semi-Auto,31479,Diesel,4.08,2.1,145.0,22490
19103,hyundi, IX35,2011,Manual,79000,Petrol,5.67,1.6,205.0,5475
17287,vw, Amarok,2015,Manual,43935,Diesel,6.66,2.0,260.0,18995
17146,toyota, Avensis,2018,Automatic,35507,Petrol,5.33,1.8,145.0,12998
18095,ford, Grand Tourneo Connect,2017,Manual,17442,Diesel,3.66,1.5,30.0,12298
18554,ford, Galaxy,2016,Semi-Auto,20486,Diesel,4.5,2.0,145.0,20995
12271,toyota, Prius,2016,Automatic,23300,Hybrid,2.75,1.8,0.0,18690
16431,vauxhall, Antara,2014,Manual,27495,Diesel,5.33,2.2,235.0,6790
18935,skoda, Scala,2019,Other,3500,Petrol,4.99,1.0,145.0,15999
12864,merc, M Class,2008,Automatic,110000,Diesel,8.17,3.0,555.0,5990
19110,ford, Puma,2019,Manual,1085,Petrol,4.58,1.0,145.0,20000
18626,ford, Tourneo Connect,2020,Automatic,409,Diesel,5.33,1.5,145.0,20950
14590,vw, Beetle,2015,Manual,55239,Petrol,4.91,1.2,145.0,7795
18512,bmw, X4,2017,Automatic,58056,Diesel,4.33,2.0,145.0,22000
14983,merc, SLK,2008,Automatic,65000,Petrol,6.84,1.8,290.0,6775
18999,vw, CC,2015,Semi-Auto,54231,Diesel,4.41,2.0,150.0,9995
15719,ford, Edge,2016,Automatic,24641,Diesel,4.83,2.0,160.0,19999
15162,bmw, M4,2020,Semi-Auto,1000,Petrol,6.92,3.0,145.0,49980
18468,toyota, GT86,2017,Manual,26919,Petrol,6.5,2.0,260.0,15998
17832,merc, GL Class,2013,Automatic,60462,Diesel,6.66,3.0,325.0,25998
13321,bmw, X4,2015,Manual,53197,Diesel,4.5,2.0,160.0,18390
15401,merc, X-CLASS,2019,Automatic,500,Diesel,6.57,2.3,260.0,24945
16001,bmw, X4,2016,Automatic,42576,Diesel,4.91,3.0,200.0,20500
13112,hyundi, I800,2016,Automatic,17110,Diesel,7.0,2.5,325.0,14998
12567,bmw, i8,2018,Automatic,11278,Hybrid,1.75,1.5,135.0,57870
12366,merc, S Class,2019,Semi-Auto,7659,Diesel,4.5,3.0,145.0,46980
17137,vw, Caddy Maxi Life,2014,Manual,56716,Diesel,4.83,1.6,200.0,9498
12304,toyota, Verso,2018,Manual,7074,Diesel,3.75,1.6,145.0,13965
15538,ford, Mustang,2017,Semi-Auto,26452,Petrol,10.01,5.0,580.0,27890
14711,hyundi, IX20,2015,Manual,29000,Petrol,4.67,1.4,125.0,6795
14728,skoda, Yeti,2017,Semi-Auto,15000,Petrol,4.58,1.2,125.0,13400
