edad,empleo,estado,educacion,impago,hipoteca,prestamo,tipo_contacto,mes,dia_semana,contactos_actual,contactos_anterior,resultado_anterior,tasa_var_empleo_3m,euribor_3m,ipc_1m,target
26,management,single,university.degree,no,no,no,telephone,jun,mon,3,0,nonexistent,1.4,4.865,94.465,no
42,technician,married,professional.course,unknown,no,no,telephone,jun,mon,9,0,nonexistent,1.4,4.865,94.465,no
30,admin.,married,university.degree,no,no,no,telephone,jun,mon,2,0,nonexistent,1.4,4.865,94.465,no
55,technician,married,basic.9y,no,no,no,telephone,jun,mon,3,0,nonexistent,1.4,4.865,94.465,no
41,blue-collar,married,basic.4y,no,yes,no,telephone,jun,mon,2,0,nonexistent,1.4,4.865,94.465,no
47,blue-collar,divorced,basic.4y,no,no,no,telephone,jun,mon,3,0,nonexistent,1.4,4.865,94.465,no
42,admin.,married,university.degree,no,no,no,telephone,jun,mon,2,0,nonexistent,1.4,4.865,94.465,no
53,housemaid,married,professional.course,unknown,yes,no,telephone,jun,mon,4,0,nonexistent,1.4,4.865,94.465,no
45,services,married,basic.9y,no,no,no,telephone,jun,mon,2,0,nonexistent,1.4,4.865,94.465,no
54,technician,married,professional.course,unknown,yes,no,telephone,jun,mon,3,0,nonexistent,1.4,4.865,94.465,no
39,unemployed,married,university.degree,no,yes,no,telephone,jun,mon,4,0,nonexistent,1.4,4.865,94.465,no
52,technician,married,professional.course,no,yes,no,telephone,jun,mon,3,0,nonexistent,1.4,4.865,94.465,no
38,services,married,high.school,unknown,yes,no,telephone,jun,mon,7,0,nonexistent,1.4,4.865,94.465,no
58,blue-collar,married,basic.9y,no,no,no,telephone,jun,mon,3,0,nonexistent,1.4,4.865,94.465,no
37,technician,single,professional.course,unknown,unknown,unknown,telephone,jun,mon,4,0,nonexistent,1.4,4.865,94.465,no
29,services,divorced,high.school,no,no,yes,telephone,jun,mon,3,0,nonexistent,1.4,4.865,94.465,no
59,retired,married,unknown,no,no,yes,telephone,jun,mon,4,0,nonexistent,1.4,4.865,94.465,no
36,self-employed,divorced,university.degree,no,yes,yes,telephone,jun,mon,2,0,nonexistent,1.4,4.865,94.465,no
30,services,married,high.school,no,no,no,telephone,jun,mon,2,0,nonexistent,1.4,4.865,94.465,no
46,technician,married,professional.course,no,no,yes,telephone,jun,mon,1,0,nonexistent,1.4,4.865,94.465,no
46,retired,married,basic.4y,no,yes,no,telephone,jun,mon,3,0,nonexistent,1.4,4.865,94.465,no
38,unknown,divorced,high.school,unknown,yes,no,telephone,jun,mon,1,0,nonexistent,1.4,4.865,94.465,no
57,blue-collar,divorced,unknown,unknown,no,no,telephone,jun,mon,1,0,nonexistent,1.4,4.865,94.465,no
25,admin.,single,high.school,no,no,no,telephone,jun,mon,2,0,nonexistent,1.4,4.865,94.465,no
49,management,married,university.degree,no,no,no,telephone,jun,mon,1,0,nonexistent,1.4,4.865,94.465,no
38,blue-collar,married,high.school,no,yes,yes,telephone,jun,mon,8,0,nonexistent,1.4,4.865,94.465,no
59,retired,married,university.degree,unknown,yes,no,telephone,jun,mon,1,0,nonexistent,1.4,4.865,94.465,no
32,technician,single,professional.course,no,unknown,unknown,telephone,jun,mon,2,0,nonexistent,1.4,4.865,94.465,no
37,entrepreneur,married,university.degree,no,yes,no,telephone,jun,mon,1,0,nonexistent,1.4,4.865,94.465,no
34,blue-collar,divorced,basic.4y,unknown,no,no,telephone,jun,mon,1,0,nonexistent,1.4,4.865,94.465,no
46,admin.,married,university.degree,no,yes,no,telephone,jun,mon,5,0,nonexistent,1.4,4.865,94.465,yes
47,self-employed,married,professional.course,no,yes,no,telephone,jun,mon,2,0,nonexistent,1.4,4.865,94.465,no
26,services,single,basic.9y,no,yes,no,telephone,jun,mon,3,0,nonexistent,1.4,4.865,94.465,no
35,technician,single,high.school,no,yes,no,telephone,jun,mon,2,0,nonexistent,1.4,4.865,94.465,no
42,blue-collar,married,unknown,unknown,no,no,telephone,jun,mon,1,0,nonexistent,1.4,4.865,94.465,no
48,technician,married,high.school,no,no,no,telephone,jun,mon,2,0,nonexistent,1.4,4.865,94.465,no
42,management,divorced,high.school,no,no,no,telephone,jun,mon,1,0,nonexistent,1.4,4.865,94.465,no
55,technician,married,basic.9y,unknown,no,no,telephone,jun,mon,1,0,nonexistent,1.4,4.865,94.465,no
41,admin.,single,university.degree,no,no,no,telephone,jun,mon,3,0,nonexistent,1.4,4.865,94.465,no
46,admin.,married,university.degree,unknown,no,no,telephone,jun,mon,3,0,nonexistent,1.4,4.865,94.465,no
44,technician,married,basic.4y,no,no,no,telephone,jun,mon,1,0,nonexistent,1.4,4.865,94.465,no
38,admin.,married,basic.9y,unknown,no,no,telephone,jun,mon,2,0,nonexistent,1.4,4.865,94.465,no
30,admin.,married,university.degree,no,no,no,telephone,jun,mon,1,0,nonexistent,1.4,4.865,94.465,no
54,services,divorced,high.school,no,no,no,telephone,jun,mon,3,0,nonexistent,1.4,4.865,94.465,no
48,entrepreneur,married,basic.4y,no,no,yes,telephone,jun,mon,1,0,nonexistent,1.4,4.865,94.465,no
38,unemployed,married,basic.6y,no,no,no,telephone,jun,mon,4,0,nonexistent,1.4,4.865,94.465,yes
33,services,single,basic.6y,no,yes,no,telephone,jun,mon,2,0,nonexistent,1.4,4.865,94.465,no
44,self-employed,divorced,high.school,no,yes,no,telephone,jun,mon,1,0,nonexistent,1.4,4.865,94.465,no
39,admin.,single,university.degree,no,yes,yes,telephone,jun,mon,2,0,nonexistent,1.4,4.865,94.465,no
40,technician,married,professional.course,unknown,no,no,telephone,jun,mon,1,0,nonexistent,1.4,4.865,94.465,no
43,unemployed,married,university.degree,unknown,no,no,telephone,jun,mon,1,0,nonexistent,1.4,4.865,94.465,no
60,management,married,university.degree,no,no,no,telephone,jun,mon,2,0,nonexistent,1.4,4.865,94.465,yes
56,retired,divorced,basic.4y,no,no,no,telephone,jun,mon,1,0,nonexistent,1.4,4.865,94.465,no
46,entrepreneur,married,basic.9y,no,no,no,telephone,jun,mon,1,0,nonexistent,1.4,4.865,94.465,no
30,services,divorced,basic.9y,no,no,no,telephone,jun,mon,1,0,nonexistent,1.4,4.865,94.465,yes
